text,label,gold_label,gold_json,source
I felt better today. I felt overwhelmed with sadness and isolation.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['sadness', 'feeling overwhelmed', 'social isolation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt better today. I felt overwhelmed with sadness and isolation.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",diary
I felt hopeful today. I found it hard to focus today; it was a heavy day.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['difficulty concentrating', 'low mood'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt hopeful today. I found it hard to focus today; it was a heavy day.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt better today. I felt a bit off but managed to accomplish some tasks.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mild mood disturbance'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt better today. I felt a bit off but managed to accomplish some tasks.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt empty today. I felt a bit off but managed to accomplish some tasks.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mild mood disturbance', 'reports feeling empty'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt empty today. I felt a bit off but managed to accomplish some tasks.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt overwhelmed today. I felt overwhelmed with sadness and isolation.,depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness', 'feeling overwhelmed', 'social isolation', 'reports feeling overwhelmed'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt overwhelmed today. I felt overwhelmed with sadness and isolation.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",diary
"I felt empty today. I took a walk in the evening, which slightly lifted my spirits.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling empty'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt empty today. I took a walk in the evening, which slightly lifted my spirits.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt down today. I wrote in my journal and expressed my thoughts.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling down'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt down today. I wrote in my journal and expressed my thoughts.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt happy today. I wrote in my journal and expressed my thoughts.,no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt happy today. I wrote in my journal and expressed my thoughts.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
I felt fine today. I felt a bit off but managed to accomplish some tasks.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mild mood disturbance'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt fine today. I felt a bit off but managed to accomplish some tasks.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt overwhelmed today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling overwhelmed'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt overwhelmed today. I felt a glimmer of hope today, looking forward to tomorrow.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt fine today. I took a walk in the evening, which slightly lifted my spirits.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt fine today. I took a walk in the evening, which slightly lifted my spirits.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
I felt overwhelmed today. I felt a bit off but managed to accomplish some tasks.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mild mood disturbance', 'reports feeling overwhelmed'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt overwhelmed today. I felt a bit off but managed to accomplish some tasks.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
I felt hopeful today. I wrote in my journal and expressed my thoughts.,no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt hopeful today. I wrote in my journal and expressed my thoughts.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
I felt hopeful today. I felt overwhelmed with sadness and isolation.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['sadness', 'feeling overwhelmed', 'social isolation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt hopeful today. I felt overwhelmed with sadness and isolation.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt happy today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt happy today. I felt a glimmer of hope today, looking forward to tomorrow.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
I felt happy today. I struggled to get out of bed and had no motivation.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['low motivation', 'difficulty getting out of bed'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt happy today. I struggled to get out of bed and had no motivation.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",diary
I felt down today. I struggled to get out of bed and had no motivation.,depression,depression,"{'chief_complaint': None, 'symptoms': ['low motivation', 'difficulty getting out of bed', 'reports feeling down'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt down today. I struggled to get out of bed and had no motivation.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",diary
I felt empty today. I found it hard to focus today; it was a heavy day.,depression,depression,"{'chief_complaint': None, 'symptoms': ['difficulty concentrating', 'low mood', 'reports feeling empty'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt empty today. I found it hard to focus today; it was a heavy day.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",diary
I felt confused today. I wrote in my journal and expressed my thoughts.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling confused'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt confused today. I wrote in my journal and expressed my thoughts.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt better today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt better today. I felt a glimmer of hope today, looking forward to tomorrow.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
"I felt confused today. I took a walk in the evening, which slightly lifted my spirits.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling confused'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt confused today. I took a walk in the evening, which slightly lifted my spirits.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt better today. I took a walk in the evening, which slightly lifted my spirits.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt better today. I took a walk in the evening, which slightly lifted my spirits.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
I felt fine today. I felt overwhelmed with sadness and isolation.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['sadness', 'feeling overwhelmed', 'social isolation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt fine today. I felt overwhelmed with sadness and isolation.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",diary
I felt empty today. I wrote in my journal and expressed my thoughts.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling empty'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt empty today. I wrote in my journal and expressed my thoughts.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt empty today. I felt a glimmer of hope today, looking forward to tomorrow.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['reports feeling empty'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt empty today. I felt a glimmer of hope today, looking forward to tomorrow.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",diary
"I felt fine today. I shared a laugh with a friend, which helped me momentarily.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt fine today. I shared a laugh with a friend, which helped me momentarily.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
"I felt hopeful today. I shared a laugh with a friend, which helped me momentarily.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'I felt hopeful today. I shared a laugh with a friend, which helped me momentarily.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",diary
