text,label,gold_label,gold_json,source
Patient has been experiencing anxious thoughts and needs support.,depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing anxious thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
Patient has been experiencing unstable thoughts and needs support.,depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mood instability'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing unstable thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient has been experiencing low thoughts and needs support.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing low thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being isolated and lacks motivation.,depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation', 'low motivation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being isolated and lacks motivation.', 'risk_indicators': 'isolation', 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient shows signs of depression, feeling anxious and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'anxiety', 'fatigue'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling anxious and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling better and unable to concentrate.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['difficulty concentrating'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling better and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient expressed feelings of being anxious and lacks motivation.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety', 'low motivation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being anxious and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient feels sad; a referral to a psychiatrist may be necessary.,depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels sad; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling unstable.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mood instability', 'anhedonia (lack of interest in activities)'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling unstable.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient shows signs of depression, feeling better and fatigued.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'fatigue'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling better and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient indicates a lack of interest in activities, feeling isolated.",depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation', 'anhedonia (lack of interest in activities)'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling isolated.', 'risk_indicators': 'isolation', 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient feels isolated; a referral to a psychiatrist may be necessary.,depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels isolated; a referral to a psychiatrist may be necessary.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
"Patient shows signs of depression, feeling sad and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'fatigue', 'sadness'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling sad and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling low.",no depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood', 'anhedonia (lack of interest in activities)'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling low.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient feels hopeful; a referral to a psychiatrist may be necessary.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels hopeful; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient has fluctuating moods, feeling low.",depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling low.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling isolated and unable to concentrate.,depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling isolated and unable to concentrate.', 'risk_indicators': 'isolation', 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being unstable and lacks motivation.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mood instability', 'low motivation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being unstable and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient feels low; a referral to a psychiatrist may be necessary.,depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels low; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
Patient feels anxious; a referral to a psychiatrist may be necessary.,depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels anxious; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling overwhelmed and unable to concentrate.,depression,depression,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling overwhelmed and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient has fluctuating moods, feeling anxious.",depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling anxious.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient shows signs of depression, feeling hopeful and fatigued.",depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'fatigue'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling hopeful and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient shows signs of depression, feeling unstable and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'fatigue', 'mood instability'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling unstable and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being better and lacks motivation.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['low motivation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being better and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient indicates a lack of interest in activities, feeling anxious.",no depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety', 'anhedonia (lack of interest in activities)'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling anxious.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling sad and unable to concentrate.,depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling sad and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient has been experiencing isolated thoughts and needs support.,depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing isolated thoughts and needs support.', 'risk_indicators': 'isolation', 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
"Patient shows signs of depression, feeling overwhelmed and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'feeling overwhelmed', 'fatigue'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling overwhelmed and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling better.",no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['anhedonia (lack of interest in activities)'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling better.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
